City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
320,Launceston,AU,68.14,moderate rain,-41.45,147.1667,Hotel Grand Chancellor Launceston
325,Hirado,JP,73.38,overcast clouds,33.3597,129.5531,Samson Hotel
327,Natal,BR,77.22,light rain,-5.795,-35.2094,Villa Park Hotel | Natal
330,Beni,CD,74.91,overcast clouds,0.5,29.4667,Albertine hotel
334,La Asuncion,VE,74.82,overcast clouds,11.0333,-63.8628,Colinas de Matasiete
336,Koster,ZA,69.89,broken clouds,-25.863,26.8976,Klub Kranskuil
343,Sao Gabriel Da Cachoeira,BR,70.93,overcast clouds,-0.1303,-67.0892,Alarne - Área De Lazer Do Alto Rio Negro
344,Hirara,JP,77.27,scattered clouds,24.8,125.2833,Hotel Atoll Emerald Miyakojima
346,Castro,BR,62.26,light rain,-24.7911,-50.0119,CHACARA BAILLY
368,Anyang,CN,76.39,clear sky,36.0994,114.3289,Ibis Anyang Jiefang Ave Hotel
373,Kasane,BW,68.09,light rain,-17.8167,25.15,The Old House
375,Mecca,SA,76.23,clear sky,21.4267,39.8261,"Makkah Clock Royal Tower, A Fairmont Hotel"
378,Mana,GF,74.75,moderate rain,5.6592,-53.7767,LE SAMANA
379,Albina,SR,72.77,moderate rain,5.5,-54.05,Hudace
380,Yokadouma,CM,78.37,overcast clouds,3.5167,15.05,Hôtel De Ville De Yokadouma
389,Arlit,NE,70.99,clear sky,18.7369,7.3853,Case de Passage De la Prefecture
390,Nago,JP,75.63,overcast clouds,26.5881,127.9761,Hotel Yugaf Inn Okinawa
399,Manono,CD,76.15,overcast clouds,-7.3,27.4167,Hotel hewa bora
400,Korla,CN,62.47,overcast clouds,41.7597,86.1469,Gulisitan Hotel
408,Dzilam Gonzalez,MX,67.71,few clouds,21.2833,-88.9333,posadas
410,Sechura,PE,76.89,overcast clouds,-5.5569,-80.8222,Hospedaje Costa Bella
412,Xinan,CN,68.11,overcast clouds,26.72,119.8556,昌雄大酒店
417,Ambositra,MG,69.44,broken clouds,-20.5167,47.25,Grand Hôtel
425,Iracoubo,GF,74.7,heavy intensity rain,5.4802,-53.2011,Le Gîte d’Iracoubo
427,Ladario,BR,70.09,overcast clouds,-19.0047,-57.6017,Hotel Fazenda 4 cantos
435,Wynyard,AU,71.96,overcast clouds,-41.0,145.7167,Burnie Airport Motel
444,Bathsheba,BB,77.61,broken clouds,13.2167,-59.5167,Atlantis Hotel
447,Sao Marcos,BR,62.56,overcast clouds,-28.9711,-51.0681,Hotel São Marcos
448,Ewa Beach,US,76.37,broken clouds,21.3156,-158.0072,Base Lodging
451,San Patricio,US,62.89,few clouds,28.017,-97.5169,"Motel 6 Sinton, TX"
454,Cabedelo,BR,77.67,overcast clouds,-6.9811,-34.8339,Hotel Pigalle
463,Salinopolis,BR,77.95,overcast clouds,-0.6136,-47.3561,Salinas Park Resort Maçarico AP101
464,Tamandare,BR,77.76,overcast clouds,-8.7597,-35.1047,Pousada 100 Passos
469,Axim,GH,77.85,overcast clouds,4.8699,-2.2405,Axim Beach Resort And Spa
471,Talara,PE,77.2,overcast clouds,-4.5772,-81.2719,Hostal Oro Negro
473,Tateyama,JP,64.63,clear sky,34.9833,139.8667,Tateyama Seaside Hotel
481,Riyadh,SA,64.54,broken clouds,24.6877,46.7219,"InterContinental Riyadh, an IHG Hotel"
482,Kudamatsu,JP,66.16,overcast clouds,34.0,131.8667,Hotel AZ Yamaguchi Kudamatsu
483,Kamina,CD,70.09,overcast clouds,-8.7386,24.9906,Guest House Florvia
486,Parauna,BR,67.55,scattered clouds,-16.9478,-50.4486,Hotel Serras de Paraúna
