City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
138,Airai,TL,2022-03-13 21:47:22,-8.9266,125.4092,60.08,92,99,2.35
139,Mirnyy,RU,2022-03-13 21:46:50,62.5353,113.9611,-15.79,100,99,2.35
140,Barrow,US,2022-03-13 21:47:22,71.2906,-156.7887,-0.38,71,0,9.22
141,Nikolskoye,RU,2022-03-13 21:47:23,59.7035,30.7861,28.8,99,95,1.81
142,Maua,BR,2022-03-13 21:47:23,-23.6678,-46.4614,73.36,96,99,3.71
143,Sakakah,SA,2022-03-13 21:47:23,29.9697,40.2064,54.97,38,0,4.59
144,Ushumun,RU,2022-03-13 21:47:24,52.7833,126.5333,-1.12,96,46,3.33
145,Port Elizabeth,ZA,2022-03-13 21:47:24,-33.918,25.5701,63.1,94,40,19.57
146,North Bend,US,2022-03-13 21:47:24,43.4065,-124.2243,51.24,91,100,14.97
147,Tianpeng,CN,2022-03-13 21:47:25,30.9866,103.9393,70.27,65,100,3.02
148,Biak,ID,2022-03-13 21:47:25,-0.9131,122.8766,76.01,84,73,3.58
149,Safaga,EG,2022-03-13 21:47:25,26.7292,33.9365,59.49,48,0,20.58
150,Santa,PH,2022-03-13 21:47:26,17.486,120.4348,76.03,83,12,2.39
151,Morgan City,US,2022-03-13 21:47:26,29.6994,-91.2068,62.01,47,0,13.8
152,Petropavlovsk-Kamchatskiy,RU,2022-03-13 21:47:27,53.0452,158.6483,21.79,74,20,4.47
153,Kuressaare,EE,2022-03-13 21:47:27,58.2481,22.5039,31.95,98,97,4.0
154,Mascota,MX,2022-03-13 21:47:27,20.5167,-104.7833,81.81,16,0,7.43
155,Noumea,NC,2022-03-13 21:42:49,-22.2763,166.4572,82.99,99,12,6.67
156,Kirakira,SB,2022-03-13 21:46:08,-10.4544,161.9205,82.72,76,79,5.08
157,Talnakh,RU,2022-03-13 21:47:28,69.4865,88.3972,-7.8,92,100,7.45
158,Hami,CN,2022-03-13 21:47:28,42.8,93.45,51.96,32,92,4.18
