City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
125,Pevek,RU,69.7008,170.3133,-16.87,100,91,3.31,overcast clouds
126,Qaanaaq,GL,77.484,-69.3632,-12.35,90,100,1.59,overcast clouds
127,Prokuplje,RS,43.2342,21.5881,25.88,57,2,1.12,clear sky
128,Aklavik,CA,68.2191,-135.0107,-8.39,85,100,5.35,overcast clouds
129,Pinawa,CA,50.1489,-95.8811,5.09,96,100,4.47,overcast clouds
130,Gat,IL,31.61,34.7642,50.68,100,100,12.3,overcast clouds
131,Bobrovka,RU,54.047,61.7455,8.58,89,86,2.59,overcast clouds
132,Kharitonovo,RU,61.4009,47.4978,21.4,89,100,7.74,overcast clouds
133,Chokurdakh,RU,70.6333,147.9167,-5.89,92,100,6.42,overcast clouds
134,Sioux Lookout,CA,50.1001,-91.917,6.87,85,0,4.61,clear sky
135,Svetlogorsk,BY,52.6333,29.7333,34.32,63,17,7.54,few clouds
136,Arman,RU,59.7,150.1667,25.02,80,100,2.59,overcast clouds
137,Dunedin,NZ,-45.8742,170.5036,57.79,85,100,4.0,overcast clouds
138,Broome,US,42.2506,-75.833,30.97,68,100,6.91,overcast clouds
139,Lorengau,PG,-2.0226,147.2712,84.76,73,26,9.06,scattered clouds
140,Narsaq,GL,60.9167,-46.05,35.82,96,100,7.78,light rain
141,Hue,VN,16.4667,107.6,80.71,69,40,6.91,scattered clouds
142,Chapais,CA,49.7834,-74.8492,6.58,99,100,3.44,overcast clouds
143,Proletarsk,RU,46.7031,41.7192,29.62,50,29,5.59,scattered clouds
144,Karratha,AU,-20.7377,116.8463,96.08,41,0,14.9,clear sky
145,Manjo,CM,4.8428,9.8217,74.97,79,99,0.89,overcast clouds
146,Rantepao,ID,-2.9701,119.8978,77.31,86,45,2.53,scattered clouds
147,Georgetown,MY,5.4112,100.3354,89.55,70,20,10.36,thunderstorm
148,Atuona,PF,-9.8,-139.0333,79.0,80,100,15.19,light rain
149,Yellowknife,CA,62.456,-114.3525,-14.28,76,0,8.05,clear sky
150,Tura,IN,25.5198,90.2201,95.56,13,14,5.77,few clouds
151,Atar,MR,20.5169,-13.0499,63.95,33,19,8.84,few clouds
152,Hasaki,JP,35.7333,140.8333,72.0,71,7,18.37,clear sky
153,Soria,ES,41.6667,-2.6667,40.1,93,100,15.35,overcast clouds
154,Te Anau,NZ,-45.4167,167.7167,57.36,91,87,5.77,overcast clouds
155,Kieta,PG,-6.2167,155.6333,82.94,72,26,3.49,scattered clouds
156,Lindi,TZ,-10.0,39.7167,82.65,75,100,4.21,overcast clouds
157,Jutai,BR,-5.1833,-68.9,70.03,99,79,0.76,moderate rain
158,Bandarbeyla,SO,9.4942,50.8122,81.57,60,8,14.45,clear sky
159,Ahuimanu,US,21.4447,-157.8378,76.14,75,75,10.36,broken clouds
160,Camacha,PT,33.0833,-16.3333,44.02,81,40,37.98,scattered clouds
161,Ponnani,IN,10.767,75.9252,92.52,52,11,8.41,few clouds
162,Souillac,MU,-20.5167,57.5167,84.58,79,75,12.66,light rain
163,Foldeak,HU,46.3167,20.5,39.22,41,0,9.01,clear sky
164,Muli,MV,2.9167,73.5667,83.37,70,100,8.93,overcast clouds
165,Shubarshi,KZ,48.5872,57.1869,14.31,88,99,7.18,overcast clouds
166,Pelym,RU,61.0108,61.9978,15.26,84,99,6.26,overcast clouds
167,Hobart,AU,-42.8794,147.3294,60.66,93,75,6.91,broken clouds
168,Cockburn Town,TC,21.4612,-71.1419,77.77,75,0,18.54,clear sky
169,Mount Gambier,AU,-37.8333,140.7667,66.11,72,75,16.11,thunderstorm with rain
170,Miyako,JP,39.6367,141.9525,39.38,92,100,9.04,overcast clouds
171,Enid,US,36.3956,-97.8784,52.09,33,0,23.02,clear sky
172,Kununurra,AU,-15.7667,128.7333,94.98,52,73,6.91,broken clouds
173,Loandjili,CG,-4.7561,11.8578,78.91,94,20,4.61,few clouds
174,Vardo,NO,70.3705,31.1107,33.24,89,80,11.18,broken clouds
175,Ambilobe,MG,-13.2,49.05,79.21,85,100,2.1,light rain
176,Kajaani,FI,64.2273,27.7285,19.45,93,0,5.75,clear sky
177,Puerto Ayora,EC,-0.7393,-90.3518,74.55,98,78,1.01,broken clouds
178,Nizhniy Tsasuchey,RU,50.5167,115.1333,24.03,51,100,8.72,overcast clouds
179,Saldanha,ZA,-33.0117,17.9442,51.85,53,33,15.86,scattered clouds
180,Labuhan,ID,-6.8844,112.2051,85.05,76,65,6.46,broken clouds
181,Coahuayana,MX,18.7333,-103.6833,67.78,81,1,3.47,clear sky
182,Airai,TL,-8.9266,125.4092,69.91,81,100,2.62,overcast clouds
183,Severo-Kurilsk,RU,50.6789,156.125,28.98,78,48,5.86,scattered clouds
184,Jati,PK,24.3539,68.2671,98.28,13,5,13.65,clear sky
185,Klaksvik,FO,62.2266,-6.589,43.72,90,0,9.78,clear sky
186,Yatou,CN,37.15,122.3833,47.98,55,0,22.41,clear sky
187,Bambous Virieux,MU,-20.3428,57.7575,85.21,79,75,12.66,light rain
188,Caravelas,BR,-17.7125,-39.2481,75.78,88,100,3.11,overcast clouds
189,Ostrovnoy,RU,68.0531,39.5131,25.02,88,100,7.85,overcast clouds
190,Kavaratti,IN,10.5669,72.642,82.99,70,14,2.93,few clouds
191,Komsomolskiy,UZ,40.4272,71.7189,54.32,87,75,2.3,mist
192,Kichera,RU,55.9375,110.0997,9.81,55,87,2.15,overcast clouds
193,Kumluca,TR,36.3703,30.2869,45.0,25,0,1.97,clear sky
194,Hereford,GB,52.0568,-2.7148,42.03,95,4,3.06,clear sky
195,Bloomfield,US,40.8068,-74.1854,36.66,63,100,9.22,overcast clouds
196,Verkhnevilyuysk,RU,63.4453,120.3167,4.17,85,100,5.21,overcast clouds
197,Belmonte,BR,-15.8631,-38.8828,76.62,88,100,2.44,overcast clouds
198,Alta Floresta,BR,-9.8756,-56.0861,69.66,98,100,1.72,overcast clouds
199,Maromitsa,RU,59.8683,48.0123,23.18,90,100,7.52,overcast clouds
200,Richards Bay,ZA,-28.783,32.0377,75.9,78,99,11.1,overcast clouds
201,Padang,ID,-0.9492,100.3543,86.05,83,100,4.61,overcast clouds
202,Darhan,MN,49.4867,105.9228,21.29,70,100,13.38,overcast clouds
203,Oktyabrskoye,RU,43.0645,44.7417,26.35,86,100,4.47,overcast clouds
204,Sinnamary,GF,5.3833,-52.95,74.86,93,100,9.57,moderate rain
205,Xining,CN,36.6167,101.7667,58.82,22,0,5.86,clear sky
206,Mindelo,CV,16.8901,-24.9804,67.55,68,20,32.21,few clouds
207,Yar-Sale,RU,66.8333,70.8333,7.47,95,81,10.09,broken clouds
208,Manama,BH,26.2154,50.5832,80.58,60,4,6.91,clear sky
209,Port-Gentil,GA,-0.7193,8.7815,82.04,77,100,4.88,light rain
210,Lebu,CL,-37.6167,-73.65,56.03,88,6,16.02,clear sky
211,Bac Lieu,VN,9.285,105.7244,87.13,61,100,15.05,overcast clouds
212,Norden,DE,53.6,7.2,46.94,93,100,10.96,overcast clouds
213,Ribeira Grande,PT,38.5167,-28.7,55.42,62,68,4.07,broken clouds
214,Chau Doc,VN,10.7,105.1167,96.6,39,99,8.34,overcast clouds
215,Zunilito,GT,14.6167,-91.5167,72.97,92,6,4.99,clear sky
216,San Andres,CO,12.5847,-81.7006,80.62,83,40,13.8,scattered clouds
217,Krasnoselkup,RU,65.7,82.4667,4.98,87,100,9.01,overcast clouds
218,Bubaque,GW,11.2833,-15.8333,74.43,73,32,14.0,scattered clouds
219,Lasa,IT,46.6166,10.7002,32.02,84,99,2.06,overcast clouds
220,Cheyenne,US,41.14,-104.8203,37.72,50,0,24.0,clear sky
221,Kavieng,PG,-2.5744,150.7967,84.9,66,99,12.66,overcast clouds
222,Akdepe,TM,42.0551,59.3788,37.49,41,100,9.95,overcast clouds
223,Chuy,UY,-33.6971,-53.4616,56.32,88,0,3.6,clear sky
224,Nicoya,CR,10.1483,-85.452,76.12,73,60,8.7,broken clouds
225,Spisske Podhradie,SK,49.0009,20.7531,29.73,48,0,3.33,clear sky
226,Norman Wells,CA,65.282,-126.8329,-27.36,68,20,0.0,few clouds
227,Jiaocheng,CN,24.6774,116.1389,84.07,46,64,4.21,broken clouds
228,Kirkuk,IQ,35.4681,44.3922,54.93,36,93,3.02,overcast clouds
229,Nikolskoye,RU,59.7035,30.7861,34.88,98,99,3.31,overcast clouds
230,Vostok,RU,46.4856,135.8833,31.8,89,100,1.97,light snow
231,Portland,US,45.5234,-122.6762,49.62,85,100,8.05,overcast clouds
232,Pimentel,PE,-6.8367,-79.9342,73.0,77,95,2.71,overcast clouds
233,Kruisfontein,ZA,-34.0033,24.7314,58.89,70,100,20.36,overcast clouds
234,Beboto,TD,8.2668,16.939,84.72,15,9,5.17,clear sky
235,Odoyev,RU,53.9393,36.6864,32.47,98,97,10.31,overcast clouds
236,Medellin,CO,6.2518,-75.5636,64.17,98,40,2.3,scattered clouds
237,Tezu,IN,27.9167,96.1667,98.28,11,17,5.03,few clouds
238,Meulaboh,ID,4.1363,96.1285,85.86,67,40,5.35,scattered clouds
239,Noumea,NC,-22.2763,166.4572,84.99,99,86,11.14,overcast clouds
240,Kalaiya,NP,27.0327,85.0022,93.54,16,0,8.43,clear sky
241,Namibe,AO,-15.1961,12.1522,71.46,76,83,7.65,broken clouds
242,Morrope,PE,-6.5417,-80.0111,77.0,64,86,1.39,overcast clouds
243,Beringovskiy,RU,63.05,179.3167,-4.95,91,4,6.02,clear sky
244,Antofagasta,CL,-23.65,-70.4,65.61,86,55,3.33,broken clouds
245,Trapani,IT,37.8333,12.6667,54.23,87,75,5.75,broken clouds
246,Leh,IN,34.1667,77.5833,27.01,50,88,1.36,overcast clouds
247,Novyy Urengoy,RU,66.0833,76.6333,5.63,93,97,7.02,overcast clouds
248,Gamba,GA,-2.65,10.0,78.01,89,85,4.52,moderate rain
249,Wright,US,45.1833,-93.9502,35.06,84,100,5.99,overcast clouds
250,Portmore,JM,17.9702,-76.8672,78.76,74,20,4.61,few clouds
251,Dano,BF,11.15,-3.0667,84.18,34,100,4.85,overcast clouds
252,Port Hedland,AU,-20.3167,118.5667,98.65,41,0,18.41,clear sky
253,Sao Filipe,CV,14.8961,-24.4956,70.54,72,0,13.27,clear sky
254,Kirovskiy,RU,45.0917,133.5136,35.58,80,100,4.05,overcast clouds
255,Vao,NC,-22.6667,167.4833,80.01,78,72,16.89,broken clouds
256,Resistencia,AR,-27.4606,-58.9839,62.65,84,0,3.44,clear sky
